@relation Data

@attribute index numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {1  2  3  4}

@data
0,-1.636691,-9.931411,-1.036092,1
1,-1.324427,-10.107283,-1.180858,1
2,-1.209572,-9.876375,-1.002593,1
3,-1.036092,-10.037891,-0.815953,1
4,-0.719043,-10.602597,-0.819542,1
5,-0.415155,-10.604990,-1.086342,1
6,-0.783649,-10.046266,-1.147358,1
7,-1.637887,-9.542577,-0.820738,1
8,-2.166701,-9.345169,-0.090927,1
9,-2.013560,-9.427721,0.659223,1
10,-1.706083,-9.893126,1.284946,1
11,-1.628316,-10.359726,1.987239,1
12,-1.769492,-10.249656,2.877369,1
13,-1.783849,-9.811769,5.359923,1
14,-1.164108,-9.761520,10.679168,1
15,-1.874776,-10.904093,14.883357,1
16,-5.294120,-13.753944,13.427324,1
17,-9.177671,-13.338790,3.798606,1
18,-7.993224,-14.203795,-8.258827,1
19,-6.699903,-19.594824,-4.425526,1
20,-0.543171,-18.443876,3.452843,1
21,1.343570,-14.627325,4.319045,1
22,-0.106481,-7.322037,0.503689,1
23,-1.373480,-2.085345,1.390230,1
24,-0.778864,-2.001596,-2.273181,1
25,-4.662415,-2.386841,-3.999603,1
26,-7.538588,-2.902494,0.783649,1
27,-3.451647,-3.555734,0.803988,1
28,-2.094916,-5.091927,-0.942772,1
29,-1.756332,-6.320641,-1.211965,1
30,-1.798206,-7.487142,-2.263610,1
31,-1.625923,-9.929018,-2.871387,1
32,-0.885344,-13.728820,-2.518446,1
33,-1.272982,-12.053844,-3.292524,1
34,-1.007378,-6.735796,-3.987639,1
35,-1.308874,-4.692325,-3.364309,1
36,-4.871787,-4.884947,14.158332,1
37,-7.336394,-4.926822,19.893927,1
38,-5.320441,-9.300901,5.398208,1
39,-5.431707,-16.669600,3.711268,1
40,-10.030712,-28.303503,0.513260,1
41,-6.652047,-31.172497,-0.267996,1
42,2.273181,-12.532409,0.935594,1
43,4.585845,-5.072784,-2.398805,1
44,4.709075,-2.395216,-7.219146,1
45,2.331806,-4.321438,-6.461818,1
46,-1.560120,-9.656236,-4.332205,1
47,-2.215754,-13.676178,-3.975675,1
48,-4.948357,-11.325230,-6.104091,1
49,-4.809574,-8.638090,0.513260,1
50,-4.302295,-6.756135,7.056434,1
51,-3.791427,-7.045666,9.320045,1
52,-1.591227,-9.854840,3.341577,1
53,0.458226,-12.312269,0.117248,1
54,1.854438,-13.014563,-0.701097,1
55,2.222932,-11.339586,-1.400998,1
56,1.192822,-9.756734,-1.259821,1
57,-0.784846,-8.833105,0.072981,1
58,-1.075574,-10.194621,0.320638,1
59,1.109073,-13.238292,-0.599402,1
60,1.771885,-12.218948,-2.790031,1
61,-0.001196,-8.458628,-3.683750,1
62,-2.181058,-6.598208,-2.676372,1
63,-4.059423,-5.796613,-1.319642,1
64,-6.689136,-6.679564,1.305285,1
65,-5.889933,-8.782856,5.009374,1
66,-3.134598,-10.323833,2.683551,1
67,-1.027717,-10.046266,1.228714,1
68,-0.669990,-8.742178,0.521635,1
69,-1.572084,-8.196614,-2.100898,1
70,-2.689533,-9.468399,-1.867598,1
71,-3.160919,-11.408978,-1.530210,1
72,-3.266203,-11.687742,-1.149751,1
73,-2.271985,-10.859825,0.415155,1
74,-2.307878,-9.789038,0.662812,1
75,-3.339184,-9.275777,-0.236889,1
76,-4.437490,-8.763713,-0.607777,1
77,-4.107280,-8.635697,0.570688,1
78,-2.969493,-8.922835,1.698904,1
79,-1.652244,-9.349955,1.913062,1
80,-0.952343,-9.625129,1.318445,1
81,-1.221536,-9.641879,0.641276,1
82,-1.787439,-9.568898,0.411565,1
83,-2.020739,-9.622736,0.760918,1
84,-1.994418,-9.722038,0.876970,1
85,-1.713261,-9.653843,0.807578,1
86,-1.714457,-9.521041,0.934397,1
87,-1.694118,-9.833304,1.427319,1
88,-1.166501,-10.469795,2.081756,1
89,-0.380459,-10.840683,3.002992,1
90,0.125623,-11.216356,4.254439,1
91,0.253639,-11.783455,6.455835,1
92,-0.184247,-12.727424,8.261220,1
93,-1.499103,-13.607983,8.986245,1
94,-2.055435,-14.620147,10.444671,1
95,-2.440679,-15.724434,8.169097,1
96,-2.669194,-15.245870,1.712065,1
97,-2.111666,-14.531611,-4.998607,1
98,-0.136391,-13.628322,0.406780,1
99,0.721436,-11.126625,3.652644,1
100,-2.833102,-7.401000,3.808177,1
101,-2.919244,-6.019145,1.950150,1
102,-1.485943,-3.701697,1.249053,1
103,-2.839084,-1.708475,2.038685,1
104,-2.404787,-0.766900,2.301895,1
105,-0.997807,0.161516,2.935993,1
106,-1.313660,-0.013161,2.757728,1
107,-1.546960,-1.792224,1.654637,1
108,-1.214357,-3.113062,2.463411,1
109,0.269193,-4.046263,4.585845,1
110,-0.005982,-2.441875,6.763313,1
111,-1.209572,-1.615155,6.972685,1
112,-3.110669,-1.731207,7.100701,1
113,-3.029314,-2.770889,7.680961,1
114,-6.193821,-4.065406,14.319847,1
115,-18.324236,-16.243677,27.572495,1
116,-24.556343,-28.631319,11.337193,1
117,-0.575474,-8.627322,-16.284355,1
118,0.924826,10.317851,3.077170,1
119,-6.951150,0.175872,13.610375,1
120,-4.261617,-6.955935,-4.679165,1
121,-4.264010,-8.417950,6.372087,1
122,-4.338187,-9.330812,1.161715,1
123,-1.830509,-9.304491,3.279363,1
124,-0.319442,-9.086744,1.258625,1
125,-1.232304,-9.466006,0.866202,1
126,-2.368894,-9.759128,-0.230907,1
127,-2.167897,-10.236495,0.530010,1
128,-1.666601,-10.753345,0.792024,1
129,-0.357727,-10.158729,0.612563,1
130,1.304088,-9.421740,0.765703,1
131,3.353541,-10.692328,-0.465404,1
132,4.969893,-11.791830,1.369891,1
133,3.638287,-10.213763,2.989832,1
134,1.131805,-9.470792,1.140180,1
135,-4.021139,-10.963913,0.623330,1
136,-9.004191,-14.693128,10.331012,1
137,-9.034101,-12.327823,3.426522,1
138,-6.574280,-9.704092,2.943172,1
139,-5.268995,-12.396018,4.496114,1
140,1.147358,-15.818951,2.271985,1
141,6.966703,-15.786648,6.357730,1
142,8.595019,-15.544972,10.295119,1
143,8.489735,-16.992630,4.112066,1
144,6.929615,-16.521244,-5.022535,1
145,-0.441476,-15.454045,-3.658626,1
146,-10.147961,-18.843479,5.397011,1
147,-12.428321,-23.231915,2.181058,1
148,-12.287145,-20.645273,-3.357130,1
149,-6.253642,-16.313068,-8.528020,1
150,2.837888,-15.217155,-4.224528,1
151,4.601398,-15.327226,1.138984,1
152,2.470589,-11.235498,-5.545366,1
153,-0.691526,-5.669793,-7.769495,1
154,-2.008775,-1.518246,-8.902496,1
155,-1.663012,2.377269,-9.007781,1
156,-2.603391,5.067998,-7.939385,1
157,-4.534399,5.394619,-6.702296,1
158,-6.638886,7.386643,-3.469593,1
159,-4.518846,2.457429,2.417947,1
160,-2.199004,-9.302098,23.654249,1
161,-9.933804,-17.301304,20.246868,1
162,-13.820944,-12.565908,13.475181,1
163,-9.068798,-3.269792,9.864411,1
164,-7.615158,-3.323631,-7.440482,1
165,-5.046463,-13.133007,-2.470589,1
166,-3.048456,-14.185849,-7.036095,1
167,3.140580,-8.999406,-10.005588,1
168,-2.670390,-8.681161,-1.610370,1
169,-9.523434,-9.755538,-7.018149,1
170,-8.573483,-12.441482,-9.658628,1
171,-2.161915,-17.252251,-5.715257,1
172,-2.632105,-18.221344,-3.596412,1
173,0.662812,-13.965710,-3.631108,1
174,5.288138,-11.509477,-0.323031,1
175,5.796613,-9.279366,2.867798,1
176,5.650651,-9.566504,4.218546,1
177,2.555535,-11.830115,2.941975,1
178,-3.899105,-13.476377,9.075976,1
179,-10.236495,-14.085350,18.454645,1
180,-10.823934,-11.496316,5.114658,1
181,-5.647061,-10.493724,5.741578,1
182,4.296313,-14.992230,11.612369,1
183,12.037094,-17.346767,3.847659,1
184,15.779469,-16.146767,4.170690,1
185,9.722038,-9.469596,3.298506,1
186,3.854837,-12.446267,-3.393023,1
187,-2.222932,-18.374485,-3.923033,1
188,-8.508878,-23.825335,10.791630,1
189,-9.883554,-27.019753,2.980261,1
190,-15.415760,-22.352552,-4.877769,1
191,-7.331609,-18.690338,-6.622137,1
192,-2.404787,-15.621543,1.317249,1
193,0.595813,-13.801801,-2.449054,1
194,1.624727,-11.083554,-8.330612,1
195,-0.902094,-5.812166,-8.810373,1
196,-3.404987,-0.205783,-9.208778,1
197,-4.362116,5.062016,-8.159525,1
198,-3.172883,8.669196,-9.621540,1
199,-3.845266,9.694521,-4.399204,1
200,-8.244471,4.443471,6.606583,1
201,-8.207381,-6.247660,25.471598,1
202,-13.166507,-13.702498,15.034104,1
203,-14.461023,-13.934603,9.214760,1
204,-9.424132,-8.693125,2.003989,1
205,-4.973482,-7.897511,-22.962723,1
206,-3.361916,-14.129618,-8.989835,1
207,-4.554738,-20.647667,-1.529014,1
208,0.681954,-14.079369,-13.537395,1
209,-3.406183,-14.446667,-11.980863,1
210,-3.335595,-15.332011,-8.606983,1
211,-1.499103,-11.814562,-4.272385,1
212,-1.396212,-7.435697,-2.012364,1
213,-0.254836,-5.261817,0.070588,1
214,0.891326,-6.921239,4.530810,1
215,1.623530,-10.256834,0.156730,1
216,3.048456,-13.299308,3.680161,1
217,1.122234,-16.406389,4.876573,1
218,-4.427918,-16.604992,5.694918,1
219,-9.560523,-14.350954,18.429520,1
220,-5.260621,-12.116057,16.389639,1
221,2.414358,-13.554144,-1.920240,1
222,10.516456,-13.397414,3.218346,1
223,14.163117,-12.264413,9.908679,1
224,7.972885,-7.383054,2.092523,1
225,4.436293,-10.104890,-4.262814,1
226,4.222136,-15.162121,-5.577670,1
227,-0.196211,-22.577478,-1.586441,1
228,-12.162718,-31.215569,0.830309,1
229,-18.047865,-32.609386,-1.552942,1
230,-20.544775,-19.733608,-2.670390,1
231,-10.309476,-12.461821,-4.107280,1
232,-3.317649,-7.422536,-1.044467,1
233,3.360719,-6.132804,-5.423333,1
234,2.915654,-3.736392,-6.940382,1
235,1.834099,0.116052,-5.728417,1
236,1.186840,2.925226,-7.012167,1
237,0.023928,4.710271,-10.080962,1
238,-0.183051,6.031109,-11.886347,1
239,-2.137987,4.979464,-3.377469,1
240,-9.444471,-3.330809,31.049267,1
241,-13.116258,-13.637893,19.810179,1
242,-12.500106,-17.206787,7.475178,1
243,-7.933403,-11.609976,6.599405,1
244,-2.472982,-2.384448,-2.185843,1
245,-0.930808,-5.575277,-25.353153,1
246,-13.783854,-20.622541,16.825132,1
247,-0.232104,-19.322042,-21.153749,1
248,1.740778,-10.670793,-13.682159,1
249,-6.357730,-11.972488,-10.430314,1
250,-5.699704,-17.570498,-7.697711,1
251,-1.676172,-15.603597,-5.266603,1
252,0.625723,-9.742377,-6.875776,1
253,0.814756,-7.064809,-5.462814,1
254,0.821935,-6.490531,1.674976,1
255,0.507278,-7.642675,10.076176,1
256,0.600598,-10.786844,10.511670,1
257,-0.449851,-14.787644,8.193025,1
258,-5.986842,-13.794622,2.344966,1
259,-8.118847,-11.152946,4.566702,1
260,-5.717650,-10.814362,14.498113,1
261,1.350748,-14.715859,9.134601,1
262,8.135597,-16.248463,-0.223729,1
263,14.161921,-15.982859,9.434899,1
264,10.709078,-11.767901,7.812566,1
265,5.557331,-11.529816,-5.772685,1
266,3.963711,-16.839489,-5.464011,1
267,-0.427119,-21.073589,-3.370291,1
268,-10.644471,-27.040092,3.940979,1
269,-14.354543,-30.581470,-0.459422,1
270,-18.952353,-21.844078,-3.554538,1
271,-9.335598,-14.257634,-5.157729,1
272,-1.977668,-9.590433,-4.214957,1
273,1.996811,-7.205986,-3.215954,1
274,3.524628,-4.648058,-6.540781,1
275,2.306681,-0.368495,-5.254639,1
276,1.183251,2.752943,-6.924829,1
277,-0.265603,5.578866,-10.868200,1
278,-3.121437,7.462018,-12.273984,1
279,-3.420540,6.794420,-10.120443,1
280,-6.001199,0.594616,3.584448,1
281,-11.653047,-13.819747,42.841095,1
282,-15.688541,-23.296522,17.832510,1
283,-5.620740,-16.752151,7.617551,1
284,-5.688936,-3.437290,3.635894,1
285,-2.472982,-1.243071,-18.759729,1
286,-8.020741,-11.420942,1.168894,1
287,-5.560920,-22.694727,-2.688336,1
288,2.358127,-9.728021,-15.590436,1
289,-3.957729,-10.569098,-11.255837,1
290,-8.070991,-14.703896,-10.935200,1
291,-2.260021,-22.137199,-6.872187,1
292,-0.451047,-16.382460,-5.315656,1
293,3.040081,-11.033305,-6.429514,1
294,3.919444,-7.992028,-4.207778,1
295,2.011168,-6.399604,9.926624,1
296,2.907279,-8.055437,8.965906,1
297,-0.358923,-9.901500,9.293723,1
298,-2.962314,-13.808979,5.450850,1
299,-5.306084,-14.662021,0.095713,1
300,-7.399804,-11.723635,0.954736,1
301,-6.636494,-9.008977,13.775480,1
302,0.197408,-10.029516,15.352350,1
303,4.819145,-13.707285,-1.183251,1
304,10.579865,-14.452649,-1.496711,1
305,11.907882,-13.272987,4.023531,1
306,11.085947,-14.303098,0.535992,1
307,5.617151,-16.065411,-4.620541,1
308,-1.635494,-18.702301,-5.661418,1
309,-7.594819,-21.012571,-3.436093,1
310,-18.124435,-29.001011,-0.491725,1
311,-17.024933,-26.957541,-0.202194,1
312,-8.301898,-19.032511,-6.844669,1
313,-1.612762,-12.574283,-2.440679,1
314,1.008575,-8.255239,-3.665804,1
315,0.558724,-3.925426,-4.315455,1
